trial_type,trial_index,trial_number,time_elapsed,random_id,condition,participant_id,age,gender_id,mus_exp,inst_exp,years_exp,mus_listening,rt,stimulus,response,correct_response,practice,correct,congruent,sound_type,audio,file_name,participant_is_group_member
image-keyboard-response,8,1,33471,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,576,stimuli/pictures/guitar_acoustic_1.jpg,1,1,TRUE,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,13,2,37928,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,1847,stimuli/pictures/guitar_acoustic_2.jpg,1,1,TRUE,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,18,3,42739,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,2197,stimuli/pictures/guitar_electric_1.jpg,0,0,TRUE,TRUE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,23,4,46212,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,867,stimuli/pictures/guitar_acoustic_1.jpg,0,1,TRUE,FALSE,NA,NA,NA,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,31,5,58961,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,574,stimuli/pictures/piano_electric_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/bird_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,37,6,66303,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,633,stimuli/pictures/flute_wooden_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/flute_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,43,7,70265,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,494,stimuli/pictures/flute_wooden_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/flute_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,49,8,74333,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,604,stimuli/pictures/piano_electric_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drum_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,55,9,78202,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,552,stimuli/pictures/bird_hawk_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drum_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
image-keyboard-response,61,10,82098,p1ap86fhd84,mus,duck,21,male,yes,yes,3,7,630,stimuli/pictures/phone_cell_2.jpg,1,1,NA,TRUE,no,sound,stimuli/sounds/phone_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/p1ap86fhd84_1772139272944.csv,FALSE
