"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","22842","p6sz768hl6f","ono","seal","20","female","no","no","0","4","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3742161","p6sz768hl6f","ono","seal","20","female","no","no","0","4","3719393","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","3744280","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1115","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","3747229","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2945","","{""participant_id"":""seal""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","3756335","p6sz768hl6f","ono","seal","20","female","no","no","0","4","9104","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","3759171","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2835","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","3759673","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","3760331","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","3778688","p6sz768hl6f","ono","seal","20","female","no","no","0","4","18356","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","3779491","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","3780194","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","3780697","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","3781301","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","3783567","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2265","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","14","2.0.0","3784370","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","3785073","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","3785575","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","17","2.0.0","3786176","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/flute_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","3787853","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1676","stimuli/pictures/guitar_electric_1.jpg","0","0","true","true","","","",""
"","","","","","audio-keyboard-response","19","2.0.0","3788655","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","3789358","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","3789860","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","22","2.0.0","3790464","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/guitar_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","3791300","p6sz768hl6f","ono","seal","20","female","no","no","0","4","834","stimuli/pictures/guitar_acoustic_1.jpg","0","1","true","false","","","",""
"","","","","","audio-keyboard-response","24","2.0.0","3792102","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","3792803","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","3794691","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1886","<p>Practice complete. Press any key to begin the real experiment.</p>"," ","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","3796460","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1769","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","3796712","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","29","2.0.0","3797312","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/dog_label_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","3798314","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","3799844","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1529","stimuli/pictures/cough_wom_2.jpg","0","0","","true","no","sound","stimuli/sounds/dog_label_B.wav",""
"","","","","","audio-keyboard-response","32","2.0.0","3800847","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","3803043","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2093","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","3803295","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","35","2.0.0","3803898","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/dog_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","3804901","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","37","2.0.0","3805896","p6sz768hl6f","ono","seal","20","female","no","no","0","4","994","stimuli/pictures/dog_rott_2.jpg","1","1","","true","no","sound","stimuli/sounds/dog_sound_B.wav",""
"","","","","","audio-keyboard-response","38","2.0.0","3806900","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","39","2.0.0","3807307","p6sz768hl6f","ono","seal","20","female","no","no","0","4","304","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","40","2.0.0","3807559","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","41","2.0.0","3808160","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/dog_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","42","2.0.0","3809161","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","43","2.0.0","3810023","p6sz768hl6f","ono","seal","20","female","no","no","0","4","861","stimuli/pictures/motor_harley_2.jpg","0","0","","true","no","sound","stimuli/sounds/dog_sound_B.wav",""
"","","","","","audio-keyboard-response","44","2.0.0","3811026","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","45","2.0.0","3812752","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1624","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","46","2.0.0","3813004","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","47","2.0.0","3813605","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/dog_label_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","48","2.0.0","3814608","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","49","2.0.0","3815578","p6sz768hl6f","ono","seal","20","female","no","no","0","4","969","stimuli/pictures/cough_man_1.jpg","0","0","","true","no","sound","stimuli/sounds/dog_label_B.wav",""
"","","","","","audio-keyboard-response","50","2.0.0","3816580","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","51","2.0.0","3817270","p6sz768hl6f","ono","seal","20","female","no","no","0","4","588","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","52","2.0.0","3817522","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","53","2.0.0","3818058","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/hiccup_label_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","54","2.0.0","3819061","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","55","2.0.0","3822877","p6sz768hl6f","ono","seal","20","female","no","no","0","4","3815","stimuli/pictures/cough_wom_1.jpg","1","0","","false","no","sound","stimuli/sounds/hiccup_label_A.wav",""
"","","","","","audio-keyboard-response","56","2.0.0","3823880","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","57","2.0.0","3824805","p6sz768hl6f","ono","seal","20","female","no","no","0","4","821","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","58","2.0.0","3825057","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","59","2.0.0","3825658","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/dog_label_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","60","2.0.0","3826660","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","61","2.0.0","3829574","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2912","stimuli/pictures/dog_rott_2.jpg","1","1","","true","yes","sound","stimuli/sounds/dog_label_B.wav",""
"","","","","","audio-keyboard-response","62","2.0.0","3830577","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","63","2.0.0","3833133","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2453","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","64","2.0.0","3833385","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","65","2.0.0","3834064","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/cough_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","66","2.0.0","3835066","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","67","2.0.0","3837418","p6sz768hl6f","ono","seal","20","female","no","no","0","4","2351","stimuli/pictures/cough_man_2.jpg","1","1","","true","yes","sound","stimuli/sounds/cough_sound_B.wav",""
"","","","","","audio-keyboard-response","68","2.0.0","3838421","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","69","2.0.0","3839548","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1025","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","70","2.0.0","3839801","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","71","2.0.0","3840480","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/cough_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","72","2.0.0","3841482","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","73","2.0.0","3842230","p6sz768hl6f","ono","seal","20","female","no","no","0","4","748","stimuli/pictures/hiccup_man_1.jpg","1","0","","false","no","sound","stimuli/sounds/cough_sound_B.wav",""
"","","","","","audio-keyboard-response","74","2.0.0","3843233","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","75","2.0.0","3844032","p6sz768hl6f","ono","seal","20","female","no","no","0","4","697","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","76","2.0.0","3844285","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","77","2.0.0","3844965","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/cough_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","78","2.0.0","3845968","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","79","2.0.0","3846716","p6sz768hl6f","ono","seal","20","female","no","no","0","4","746","stimuli/pictures/cough_wom_2.jpg","1","1","","true","no","sound","stimuli/sounds/cough_sound_B.wav",""
"","","","","","audio-keyboard-response","80","2.0.0","3847719","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","81","2.0.0","3848540","p6sz768hl6f","ono","seal","20","female","no","no","0","4","719","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","82","2.0.0","3848792","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","83","2.0.0","3849392","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/dog_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","84","2.0.0","3850393","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","85","2.0.0","3852180","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1786","stimuli/pictures/hiccup_man_2.jpg","1","0","","false","no","sound","stimuli/sounds/dog_sound_A.wav",""
"","","","","","audio-keyboard-response","86","2.0.0","3853183","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","87","2.0.0","3853862","p6sz768hl6f","ono","seal","20","female","no","no","0","4","577","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","88","2.0.0","3854115","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","89","2.0.0","3854714","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/motor_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","90","2.0.0","3855717","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","","null","","","","","","",""
"","","","","","image-keyboard-response","91","2.0.0","3856570","p6sz768hl6f","ono","seal","20","female","no","no","0","4","844","stimuli/pictures/motor_harley_1.jpg","1","1","","true","no","sound","stimuli/sounds/motor_sound_A.wav",""
"","","","","","audio-keyboard-response","92","2.0.0","3857572","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","93","2.0.0","3858868","p6sz768hl6f","ono","seal","20","female","no","no","0","4","1194","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","94","2.0.0","3859120","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","95","2.0.0","3859728","p6sz768hl6f","ono","seal","20","female","no","no","0","4","null","stimuli/sounds/drop_sound_B.wav","null","","","","","","",""
