"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","420","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2055","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","1634","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","5663","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","2605","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","12049","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","6383","","{""participant_id"":""cub""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","72761","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","60710","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","80996","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","8234","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","81499","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","82943","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","85911","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","2964","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","86714","p6v1dtywj48","mus","cub","22","male","yes","yes","5","2","null","stimuli/sounds/bleep.wav","null","","","","","","",""
