"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","640","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2049","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","1408","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","18571","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","15518","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","22376","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","3798","","{""participant_id"":""lynx""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","50097","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","27718","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","54960","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","4862","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","55462","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","56394","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","56948","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","551","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","57751","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","58455","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","58958","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","59563","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","60152","p7hgsjfsstb","ono","lynx","22","male","no","yes","0","4-5","588","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
