"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","96","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3670","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","3573","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","6309","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","1620","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","7697","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","1382","","{""participant_id"":""whale""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","44713","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","37014","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    ","ArrowRight","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","44734","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","18","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  ","ArrowUp","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","45249","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","46587","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","52114","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","5522","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","52925","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","53633","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","54148","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","54748","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","56288","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","1537","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","14","2.0.0","57091","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","57796","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","58310","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","17","2.0.0","58916","p9mh6plr0u7","mus","whale","21","male","yes","yes","10","1","null","stimuli/sounds/flute_sound_A.wav","null","","","","","","",""
