"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","336","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","3316","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","2977","Welcome to the experiment! Press any key to begin.","AudioVolumeUp","","","","","","",""
"true","","","","","fullscreen","2","null","8119","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","3790","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","11257","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","3132","","{""participant_id"":""sloth""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","26480","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","15221","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","31207","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","4726","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","31714","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","33302","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","33920","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","613","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","34730","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","35448","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","35957","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","36550","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","37260","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","709","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","14","2.0.0","38068","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","38773","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","39284","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","17","2.0.0","39891","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/flute_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","40641","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","748","stimuli/pictures/guitar_electric_1.jpg","1","0","true","false","","","",""
"","","","","","audio-keyboard-response","19","2.0.0","41451","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","42159","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","42677","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","22","2.0.0","43270","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/guitar_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","44085","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","814","stimuli/pictures/guitar_acoustic_1.jpg","0","1","true","false","","","",""
"","","","","","audio-keyboard-response","24","2.0.0","44895","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","45602","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","48732","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","3129","<p>Practice complete. Press any key to begin the real experiment.</p>"," ","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","50687","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","1954","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","50944","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","29","2.0.0","51541","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/bird_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","52550","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","","null","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","53498","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","946","stimuli/pictures/drum_kit_1.jpg","0","0","","true","no","sound","stimuli/sounds/bird_sound_B.wav",""
"","","","","","audio-keyboard-response","32","2.0.0","54501","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","58257","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","3647","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","58524","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","35","2.0.0","59130","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","stimuli/sounds/piano_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","60139","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","null","","null","","","","","","",""
"","","","","","image-keyboard-response","37","2.0.0","60870","pa5xtfb7nz2","mus","sloth","20","female","yes","yes","10","3","729","stimuli/pictures/piano_grand_1.jpg","1","1","","true","yes","sound","stimuli/sounds/piano_sound_A.wav",""
