"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","420","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1765","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1344","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","5328","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","2558","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","8927","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","3594","","{""participant_id"":""lion""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","14908","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","5979","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","16644","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1735","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","17146","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","17874","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","19516","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1639","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","20319","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","21021","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","21524","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","22123","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","28115","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","5992","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","14","2.0.0","28916","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","29618","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","30120","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","17","2.0.0","30720","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/flute_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","33931","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","3210","stimuli/pictures/guitar_electric_1.jpg","0","0","true","true","","","",""
"","","","","","audio-keyboard-response","19","2.0.0","34733","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","35435","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","35937","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","22","2.0.0","36536","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/guitar_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","37843","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1306","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","24","2.0.0","38645","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","39347","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","40643","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1295","<p>Practice complete. Press any key to begin the real experiment.</p>"," ","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","49914","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","9271","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","50166","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","29","2.0.0","50769","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bird_label_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","51772","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","","null","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","52626","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","854","stimuli/pictures/bird_hawk_1.jpg","1","1","","true","yes","sound","stimuli/sounds/bird_label_B.wav",""
"","","","","","audio-keyboard-response","32","2.0.0","53629","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","56441","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","2712","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","56694","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","35","2.0.0","57294","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bird_label_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","58296","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","","null","","","","","","",""
"","","","","","image-keyboard-response","37","2.0.0","59625","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1329","stimuli/pictures/phone_rotary_2.jpg","0","0","","true","no","sound","stimuli/sounds/bird_label_B.wav",""
"","","","","","audio-keyboard-response","38","2.0.0","60627","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","39","2.0.0","62361","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1632","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","40","2.0.0","62613","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","41","2.0.0","63220","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/flute_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","42","2.0.0","64222","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","","null","","","","","","",""
"","","","","","image-keyboard-response","43","2.0.0","65554","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1331","stimuli/pictures/bird_song_1.jpg","0","0","","true","no","sound","stimuli/sounds/flute_sound_B.wav",""
"","","","","","audio-keyboard-response","44","2.0.0","66556","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","45","2.0.0","68681","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","2023","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","46","2.0.0","68932","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","47","2.0.0","69542","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/piano_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","48","2.0.0","70544","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","","null","","","","","","",""
"","","","","","image-keyboard-response","49","2.0.0","71689","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1144","stimuli/pictures/piano_electric_1.jpg","1","1","","true","no","sound","stimuli/sounds/piano_sound_A.wav",""
"","","","","","audio-keyboard-response","50","2.0.0","72691","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","51","2.0.0","74369","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1577","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","52","2.0.0","74621","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","53","2.0.0","75225","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/flute_label_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","54","2.0.0","76227","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","","null","","","","","","",""
"","","","","","image-keyboard-response","55","2.0.0","76865","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","637","stimuli/pictures/flute_metal_1.jpg","1","1","","true","yes","sound","stimuli/sounds/flute_label_A.wav",""
"","","","","","audio-keyboard-response","56","2.0.0","77867","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","57","2.0.0","79767","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","1798","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","58","2.0.0","80019","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","59","2.0.0","80623","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","stimuli/sounds/phone_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","60","2.0.0","81625","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","null","","null","","","","","","",""
"","","","","","image-keyboard-response","61","2.0.0","82545","phbf034g6t6","mus","lion","22","female","yes","yes","4","3 ","919","stimuli/pictures/piano_grand_2.jpg","0","0","","true","no","sound","stimuli/sounds/phone_sound_B.wav",""
