"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","144","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1947","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","1801","Welcome to the experiment! Press any key to begin.","Enter","","","","","","",""
"true","","","","","fullscreen","2","null","4450","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","1494","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","6470","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","2017","","{""participant_id"":""calf""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","10722","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","4250","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    ","End","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","13582","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","2859","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  ","End","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","14096","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","15661","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","29982","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","14317","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","30796","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","31503","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","32014","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","32609","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","33945","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","1335","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","14","2.0.0","34760","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","35463","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","35978","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","17","2.0.0","36579","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/flute_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","46035","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","9454","stimuli/pictures/guitar_electric_1.jpg","1","0","true","false","","","",""
"","","","","","audio-keyboard-response","19","2.0.0","46836","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","47537","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","48048","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","22","2.0.0","48659","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/guitar_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","194262","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","145603","stimuli/pictures/guitar_acoustic_1.jpg","0","1","true","false","","","",""
"","","","","","audio-keyboard-response","24","2.0.0","195067","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","195772","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","196914","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","1140","<p>Practice complete. Press any key to begin the real experiment.</p>","0","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","202957","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","6042","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","203219","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","29","2.0.0","203811","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/motor_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","204816","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","","null","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","216901","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","12084","stimuli/pictures/motor_harley_2.jpg","0","1","","false","no","sound","stimuli/sounds/motor_sound_A.wav",""
"","","","","","audio-keyboard-response","32","2.0.0","217904","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","222478","pkexwy3ddh4","ono","calf","22","female","no","yes","2","1","4465","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
