"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","1366","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","2405","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","1037","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","4669","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","1261","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","7619","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","2945","","{""participant_id"":""sheep""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","15530","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","7908","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","16843","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","1313","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","17346","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","18324","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","18752","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","424","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","19556","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","20259","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","20761","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","21360","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
"","","","","","image-keyboard-response","13","2.0.0","22026","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","664","stimuli/pictures/guitar_acoustic_2.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","14","2.0.0","22829","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","23532","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","24035","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","17","2.0.0","24635","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/flute_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","18","2.0.0","25354","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","717","stimuli/pictures/guitar_electric_1.jpg","0","0","true","true","","","",""
"","","","","","audio-keyboard-response","19","2.0.0","26156","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","26858","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<p style='color:green; font-size:30px;'>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","27360","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","22","2.0.0","27963","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/guitar_sound_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","28777","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","813","stimuli/pictures/guitar_acoustic_1.jpg","0","1","true","false","","","",""
"","","","","","audio-keyboard-response","24","2.0.0","29579","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","30282","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","32502","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","2219","<p>Practice complete. Press any key to begin the real experiment.</p>"," ","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","35364","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","2861","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","35615","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","29","2.0.0","36224","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/hiccup_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","37227","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","31","2.0.0","38110","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","882","stimuli/pictures/motor_harley_2.jpg","0","0","","true","no","sound","stimuli/sounds/hiccup_sound_A.wav",""
"","","","","","audio-keyboard-response","32","2.0.0","39113","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","33","2.0.0","41885","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","2670","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","42137","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","35","2.0.0","42741","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/motor_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","43744","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","37","2.0.0","44236","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","491","stimuli/pictures/motor_harley_1.jpg","1","1","","true","yes","sound","stimuli/sounds/motor_sound_B.wav",""
"","","","","","audio-keyboard-response","38","2.0.0","45239","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","39","2.0.0","46127","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","787","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","40","2.0.0","46379","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","41","2.0.0","46986","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/hiccup_label_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","42","2.0.0","47989","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","43","2.0.0","48645","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","654","stimuli/pictures/hiccup_wom_1.jpg","1","1","","true","yes","sound","stimuli/sounds/hiccup_label_B.wav",""
"","","","","","audio-keyboard-response","44","2.0.0","49649","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","45","2.0.0","50363","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","612","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","46","2.0.0","50615","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","47","2.0.0","51215","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/dog_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","48","2.0.0","52218","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","49","2.0.0","52712","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","492","stimuli/pictures/motor_dirt_1.jpg","0","0","","true","no","sound","stimuli/sounds/dog_sound_B.wav",""
"","","","","","audio-keyboard-response","50","2.0.0","53715","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","51","2.0.0","54594","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","777","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","52","2.0.0","54846","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","53","2.0.0","55445","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/motor_label_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","54","2.0.0","56447","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","55","2.0.0","56918","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","469","stimuli/pictures/motor_harley_1.jpg","1","1","","true","yes","sound","stimuli/sounds/motor_label_A.wav",""
"","","","","","audio-keyboard-response","56","2.0.0","57921","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","57","2.0.0","58523","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","500","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","58","2.0.0","58776","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","59","2.0.0","59439","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/cough_sound_A.wav","null","","","","","","",""
"","","","","","html-keyboard-response","60","2.0.0","60442","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","61","2.0.0","61128","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","684","stimuli/pictures/dog_rott_1.jpg","0","0","","true","no","sound","stimuli/sounds/cough_sound_A.wav",""
"","","","","","audio-keyboard-response","62","2.0.0","62131","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","63","2.0.0","62790","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","557","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","64","2.0.0","63043","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","65","2.0.0","63642","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/hiccup_sound_B.wav","null","","","","","","",""
"","","","","","html-keyboard-response","66","2.0.0","64644","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","","null","","","","","","",""
"","","","","","image-keyboard-response","67","2.0.0","65149","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","503","stimuli/pictures/hiccup_man_2.jpg","1","1","","true","yes","sound","stimuli/sounds/hiccup_sound_B.wav",""
"","","","","","audio-keyboard-response","68","2.0.0","66152","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","stimuli/sounds/bleep.wav","null","","","","","","",""
"","","","","","html-keyboard-response","69","2.0.0","66746","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","491","<div style=""font-size:30px;"">Press space to start the trial</div>"," ","","","","","","",""
"","","","","","html-keyboard-response","70","2.0.0","66997","pmp97ju3xbt","ono","sheep","22","female","yes","yes","5-ish","yes, 1 hour","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
