"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","333","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","27812","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","27477","Welcome to the experiment! Press any key to begin.","Enter","","","","","","",""
"true","","","","","fullscreen","2","null","30288","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","1461","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","33897","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","3600","","{""participant_id"":""hamster""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","38779","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","4875","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    ","Enter","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","41582","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","2802","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  ","Enter","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","42089","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","42803","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","55940","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","13130","stimuli/pictures/guitar_acoustic_1.jpg","0","1","true","false","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","56747","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","null","stimuli/sounds/buzz.wav","null","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","57462","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","null","<p style='color:red; font-size:30px;'>Incorrect</p>","null","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","57977","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","12","2.0.0","58572","pqobvqc3jat","mus","hamster","21","female","yes","yes","5","10","null","stimuli/sounds/guitar_sound_B.wav","null","","","","","","",""
