"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","201","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","1761","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","1558","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","8015","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","5241","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","11584","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","3557","","{""participant_id"":""gecko""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","17527","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","5941","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    ","AudioVolumeUp","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","17743","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","213","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  ","AudioVolumeUp","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","18250","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","18965","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","20606","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","1635","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","21415","pr53p8bf9od","ono","gecko","22","female","no","no","0","2 hrs","null","stimuli/sounds/bleep.wav","null","","","","","","",""
