"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","condition","participant","age","gender_id","mus_exp","inst_exp","years_exp","mus_listening","rt","stimulus","response","correct_response","practice","correct","congruent","sound_type","audio","question_order"
"true","false","[]","[]","[]","preload","0","2.0.0","448","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","4520","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","4071","Welcome to the experiment! Press any key to begin."," ","","","","","","",""
"true","","","","","fullscreen","2","null","6707","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","1184","","","","","","","","",""
"","","","","","survey-text","3","2.0.0","9131","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","2421","","{""participant_id"":""Manatee""}","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","10189","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","1056","
    <p> Please use headphones for the duration of the study.</p>
    <p> Within each trial, you will hear a sound and then be presented with an image in the center of your screen.</p>
    <p>Press the <b>'1'</b> key if what you hear <u>matches</u> what you see.</p>
    <p>Press the <b>'0'</b> key if what you hear <u>does not match</u> what you see.</p>
    <p>Try to respond as quickly and accurately as you can.</p>
    <p> Press any key to begin.</p>
    "," ","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","11213","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","1023","
    <div style=""font-size:28px;"">
      <p>You will now complete 4 short practice trials.</p>
      <p>This is just to help you get familiar with the task.</p>
      <p>Press any key to begin.</p>
    </div>
  "," ","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","11716","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","audio-keyboard-response","7","2.0.0","12358","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","null","stimuli/sounds/guitar_label_A.wav","null","","","","","","",""
"","","","","","image-keyboard-response","8","2.0.0","13077","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","716","stimuli/pictures/guitar_acoustic_1.jpg","1","1","true","true","","","",""
"","","","","","audio-keyboard-response","9","2.0.0","13881","psm2bkje7mx","mus","Manatee","21","Female","no","yes","1","3","null","stimuli/sounds/bleep.wav","null","","","","","","",""
